2020:108:00:01:01  rack_temp  303.59 Kelvin, ambient_temp  299.41 Kelvin, ambient_hum   36.54 percent, frontend  298.93 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:06:01  rack_temp  303.80 Kelvin, ambient_temp  299.73 Kelvin, ambient_hum   35.26 percent, frontend  298.95 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:11:01  rack_temp  303.80 Kelvin, ambient_temp  300.08 Kelvin, ambient_hum   34.21 percent, frontend  298.86 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:16:01  rack_temp  304.00 Kelvin, ambient_temp  300.49 Kelvin, ambient_hum   33.27 percent, frontend  298.92 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:21:01  rack_temp  304.20 Kelvin, ambient_temp  300.71 Kelvin, ambient_hum   32.26 percent, frontend  298.92 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:26:01  rack_temp  304.00 Kelvin, ambient_temp  300.85 Kelvin, ambient_hum   31.38 percent, frontend  298.95 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:31:01  rack_temp  304.20 Kelvin, ambient_temp  301.38 Kelvin, ambient_hum   30.74 percent, frontend  298.99 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:36:01  rack_temp  304.61 Kelvin, ambient_temp  301.46 Kelvin, ambient_hum   29.82 percent, frontend  298.97 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:41:01  rack_temp  304.81 Kelvin, ambient_temp  301.49 Kelvin, ambient_hum   30.71 percent, frontend  298.99 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:46:01  rack_temp  304.81 Kelvin, ambient_temp  302.07 Kelvin, ambient_hum   29.40 percent, frontend  299.00 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:51:01  rack_temp  305.02 Kelvin, ambient_temp  302.01 Kelvin, ambient_hum   28.56 percent, frontend  298.95 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:00:56:01  rack_temp  305.22 Kelvin, ambient_temp  302.30 Kelvin, ambient_hum   27.63 percent, frontend  299.00 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:01:01:01  rack_temp  305.63 Kelvin, ambient_temp  302.56 Kelvin, ambient_hum   26.91 percent, frontend  298.97 Kelvin, rcv3_lna  273.20 Kelvin
